SUM PV,SUM Price
7000.0,30000.0
30000.0,100000.0
8000.0,30000.0
92000.0,314000.0
190000.0,645000.0
0.0,30000.0
27000.0,94000.0
30000.0,105000.0
31000.0,114000.0
35000.0,144000.0
212000.0,630000.0
21500.0,77000.0
353000.0,1241000.0
15000.0,64000.0
223000.0,806000.0
102000.0,358000.0
40000.0,135000.0
7000.0,34000.0
112000.0,340000.0
86000.0,254000.0
59000.0,180000.0
19000.0,74000.0
65000.0,200000.0
26000.0,80000.0
0.0,30000.0
186500.0,591000.0
25000.0,70000.0
246000.0,788000.0
0.0,210000.0
20000.0,60000.0
28500.0,99000.0
239000.0,756000.0
25000.0,80000.0
33500.0,122000.0
458500.0,1441000.0
284000.0,939000.0
50000.0,140000.0
97000.0,300000.0
20000.0,60000.0
183500.0,591000.0
7000.0,34000.0
347000.0,1020000.0
155000.0,514000.0
53000.0,160000.0
